;;;"Status
N - New     NN - Not new";;;;;;;
Category;Technology;Version;Hold;Assess;Trial;Adopt;Maintenance;Restricted;Obsolete;Rejected
"Analytics - 
Data Visualization 
and 
Data Discovery";Microsoft Power BI Desktop;;;;;NN;;;;
"Analytics - 
Data Visualization 
and 
Data Discovery";Grafana;;;;;NN;;;;
Application Lifecycle Management;GitLab Community Edition;12.3.4;;;;NN;;;;
Application Lifecycle Management;Jenkins;2.211;;;;NN;NN;;;
Application Lifecycle Management;Maven;;;;;NN;;;;
Application Lifecycle Management;SonarQube;;;;;NN;;;;
Application Lifecycle Management;Nexus;;;;;NN;NN;;;
Application Lifecycle Management;Harness;;;;;N;;;;
Application Lifecycle Management;Keptn;;;;;N;;;;
Application Lifecycle Management;Sourcegraph;;;;;N;;;;
Application Performance Monitoring;Dynatrace;;;;;NN;;;;
Auth;Keycloak;;;;N;;;;;
Auth;Cognito;;;;N;;;;;
Automation;Selenium;;;;;NN;;;;
Automation;Appium;;;;;NN;;;;
Cloud AWS;IaaS;;;;;N;;;;
Cloud AWS;PaaS;;;;;N;;;;
Cloud AWS;SaaS;;;;;N;;;;
Cloud Google;IaaS;;;;;;;;;
Cloud Google;PaaS;;;;;;;;;
Cloud Google;SaaS;;;;;;;;;
Collaboration;Jira;;;;;NN;;;;
Collaboration;Office 365;;;;;NN;;;;
Collaboration;Microsoft Teams;;;;;NN;;;;
Event Streaming;Amazon Kinesis;;N;;;;;;;
Event Streaming;Apache Kafka;;;;;NN;;;;
External APIs;Web Service RESTful JSON;;;;;NN;;;;
External APIs;Web Socket;;;;;;;NN;;
External APIs;Web Service SOAP;1.2;;;;;;NN;;
Frameworks;Apache commons;;;;;;NN;;;
Frameworks;Logback;;;;;NN;;;;
Frameworks;Apache Log4J ;;;;;;;NN;;
Frameworks;Hibernate;;;;;NN;;;;
Frameworks;JPA;;;;;NN;;;;
Frameworks;JUnit;;;;;NN;;;;
Frameworks;Spring Batch;;;;;NN;;;;
Frameworks;Spring Framework;;;;;NN;;;;
Frameworks;Django;;;;N;;;;;
Integration Techniques (applications);DataBase;;;;;;;;;
Integration Techniques (applications);File;;;;;;;;;
Integration Techniques (applications);Message Queue;;;;;;;NN;;
Integration Techniques (applications);Web Service RESTFul Json;;;;;NN;;;;
Integration Techniques (applications);Web Socket;;;;;;;NN;;
Integration Techniques (applications);Web Service SOAP;;;;;;;;NN;
Integration Techniques (applications);JMS;;;;;;;;;
Integration Techniques (applications);Event Streaming;;;;;NN;;;;
Middlewares;Apache HTTP Server;2.2.x;;;;;;;;
Middlewares;Apache HTTP Server;2.4.x;;;;;;;;
Middlewares;Apache Tomcat;6.x;;;;;NN;;;
Middlewares;Apache Tomcat;7.x;;;;;NN;;;
Middlewares;Apache Tomcat;8.x;;;;;NN;;;
